Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1381,1269,746,50226.984375,0.014853
2,1000,0.1,0.2,50.0,1000,1361,1208,740,50282.140625,0.014717
3,1000,0.1,0.2,50.0,1000,1374,1214,740,50636.898438,0.014614
4,1000,0.1,0.2,50.0,1000,1336,1182,743,50238.480469,0.014789
5,1000,0.1,0.2,50.0,1000,1316,1202,756,50500.636719,0.014970
6,1000,0.1,0.2,50.0,1000,1325,1212,746,50387.019531,0.014805
7,1000,0.1,0.2,50.0,1000,1358,1212,751,51130.511719,0.014688
8,1000,0.1,0.2,50.0,1000,1323,1198,743,49713.140625,0.014946
9,1000,0.1,0.2,50.0,1000,1353,1218,730,50170.214844,0.014550
10,1000,0.1,0.2,50.0,1000,1306,1177,722,50075.003906,0.014418
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1519,1208,680,50738.468750,0.013402
2,1000,0.2,0.2,50.0,1000,1434,1142,653,48841.628906,0.013370
3,1000,0.2,0.2,50.0,1000,1504,1190,659,48686.976562,0.013535
4,1000,0.2,0.2,50.0,1000,1501,1171,666,50419.500000,0.013209
5,1000,0.2,0.2,50.0,1000,1412,1148,657,48015.902344,0.013683
6,1000,0.2,0.2,50.0,1000,1519,1222,682,51014.605469,0.013369
7,1000,0.2,0.2,50.0,1000,1535,1192,674,49861.039062,0.013518
8,1000,0.2,0.2,50.0,1000,1530,1224,677,49807.664062,0.013592
9,1000,0.2,0.2,50.0,1000,1511,1219,657,50248.722656,0.013075
10,1000,0.2,0.2,50.0,1000,1480,1202,689,50944.386719,0.013525
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,1838,1072,485,49749.761719,0.009749
2,1000,0.4,0.2,50.0,1000,1929,1140,502,51180.679688,0.009808
3,1000,0.4,0.2,50.0,1000,1796,1075,483,49261.035156,0.009805
4,1000,0.4,0.2,50.0,1000,1910,1136,516,51497.902344,0.010020
5,1000,0.4,0.2,50.0,1000,1724,1037,482,48577.042969,0.009922
6,1000,0.4,0.2,50.0,1000,1834,1131,509,50273.339844,0.010125
7,1000,0.4,0.2,50.0,1000,1831,1086,486,49866.500000,0.009746
8,1000,0.4,0.2,50.0,1000,1774,1083,509,50301.734375,0.010119
9,1000,0.4,0.2,50.0,1000,1827,1087,474,49276.488281,0.009619
10,1000,0.4,0.2,50.0,1000,1856,1109,471,50409.257812,0.009344
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2146,874,296,51177.296875,0.005784
2,1000,0.6,0.2,50.0,1000,2099,837,265,49127.984375,0.005394
3,1000,0.6,0.2,50.0,1000,2121,867,274,48679.917969,0.005629
4,1000,0.6,0.2,50.0,1000,2137,894,284,50051.601562,0.005674
5,1000,0.6,0.2,50.0,1000,2119,893,297,50145.980469,0.005923
6,1000,0.6,0.2,50.0,1000,2158,855,290,50892.082031,0.005698
7,1000,0.6,0.2,50.0,1000,2112,841,268,49300.058594,0.005436
8,1000,0.6,0.2,50.0,1000,2131,846,269,49286.519531,0.005458
9,1000,0.6,0.2,50.0,1000,2135,806,265,49250.203125,0.005381
10,1000,0.6,0.2,50.0,1000,2078,857,285,48901.191406,0.005828
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2458,508,90,51300.417969,0.001754
2,1000,0.8,0.2,50.0,1000,2406,498,89,50407.683594,0.001766
3,1000,0.8,0.2,50.0,1000,2404,487,93,50391.726562,0.001846
4,1000,0.8,0.2,50.0,1000,2317,494,83,48317.117188,0.001718
5,1000,0.8,0.2,50.0,1000,2449,497,92,50968.015625,0.001805
6,1000,0.8,0.2,50.0,1000,2419,509,114,51501.707031,0.002214
7,1000,0.8,0.2,50.0,1000,2378,478,77,49589.855469,0.001553
8,1000,0.8,0.2,50.0,1000,2441,489,77,50999.703125,0.001510
9,1000,0.8,0.2,50.0,1000,2365,465,83,49263.320312,0.001685
10,1000,0.8,0.2,50.0,1000,2419,487,80,50361.570312,0.001589
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2046,1014,381,51195.093750,0.007442
2,1000,0.5,0.2,50.0,1000,1980,994,375,48803.816406,0.007684
3,1000,0.5,0.2,50.0,1000,2019,988,388,49961.250000,0.007766
4,1000,0.5,0.2,50.0,1000,1995,1026,409,50510.875000,0.008097
5,1000,0.5,0.2,50.0,1000,1948,1002,385,49095.179688,0.007842
6,1000,0.5,0.2,50.0,1000,1940,1018,397,50204.832031,0.007908
7,1000,0.5,0.2,50.0,1000,1994,980,363,49927.257812,0.007271
8,1000,0.5,0.2,50.0,1000,1980,1013,400,51739.121094,0.007731
9,1000,0.5,0.2,50.0,1000,2011,975,367,49447.359375,0.007422
10,1000,0.5,0.2,50.0,1000,2014,1018,375,49962.066406,0.007506
