Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3323,2611,995,47743.148438,0.020841
2,1000,0.2,0.2,50.0,1000,3325,2672,997,48594.960938,0.020517
3,1000,0.2,0.2,50.0,1000,16067,6520,453,49382.980469,0.009173
4,1000,0.2,0.2,50.0,1000,3220,2591,998,49482.773438,0.020169
5,1000,0.2,0.2,50.0,1000,3514,2821,998,48546.585938,0.020558
6,1000,0.2,0.2,50.0,1000,3257,2628,997,50580.273438,0.019711
7,1000,0.2,0.2,50.0,1000,3560,2810,998,51924.906250,0.019220
8,1000,0.2,0.2,50.0,1000,3325,2660,998,49597.656250,0.020122
9,1000,0.2,0.2,50.0,1000,3362,2636,997,49436.296875,0.020167
10,1000,0.2,0.2,50.0,1000,3302,2639,998,48081.519531,0.020756
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3323,2611,995,47743.148438,0.020841
2,1000,0.2,0.2,50.0,1000,3325,2672,997,48594.960938,0.020517
3,1000,0.2,0.2,50.0,1000,68728,6391,485,48900.589844,0.009918
4,1000,0.2,0.2,50.0,1000,3220,2591,998,49482.773438,0.020169
5,1000,0.2,0.2,50.0,1000,3514,2821,998,48546.585938,0.020558
6,1000,0.2,0.2,50.0,1000,3257,2628,997,50580.273438,0.019711
7,1000,0.2,0.2,50.0,1000,3560,2810,998,51924.906250,0.019220
8,1000,0.2,0.2,50.0,1000,3325,2660,998,49597.656250,0.020122
9,1000,0.2,0.2,50.0,1000,3362,2636,997,49436.296875,0.020167
10,1000,0.2,0.2,50.0,1000,3302,2639,998,48081.519531,0.020756
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3323,2611,995,47743.148438,0.020841
2,1000,0.2,0.2,50.0,1000,3325,2672,997,48594.960938,0.020517
3,1000,0.2,0.2,50.0,1000,125074,6352,492,48652.593750,0.010113
4,1000,0.2,0.2,50.0,1000,3220,2591,998,49482.773438,0.020169
5,1000,0.2,0.2,50.0,1000,3514,2821,998,48546.585938,0.020558
6,1000,0.2,0.2,50.0,1000,3257,2628,997,50580.273438,0.019711
7,1000,0.2,0.2,50.0,1000,3560,2810,998,51924.906250,0.019220
8,1000,0.2,0.2,50.0,1000,3325,2660,998,49597.656250,0.020122
9,1000,0.2,0.2,50.0,1000,3362,2636,997,49436.296875,0.020167
10,1000,0.2,0.2,50.0,1000,3302,2639,998,48081.519531,0.020756
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3323,2611,995,47743.148438,0.020841
2,1000,0.2,0.2,50.0,1000,3325,2672,997,48594.960938,0.020517
3,1000,0.2,0.2,50.0,1000,217533,6347,492,48633.621094,0.010116
4,1000,0.2,0.2,50.0,1000,3220,2591,998,49482.773438,0.020169
5,1000,0.2,0.2,50.0,1000,3514,2821,998,48546.585938,0.020558
6,1000,0.2,0.2,50.0,1000,3257,2628,997,50580.273438,0.019711
7,1000,0.2,0.2,50.0,1000,3560,2810,998,51924.906250,0.019220
8,1000,0.2,0.2,50.0,1000,3325,2660,998,49597.656250,0.020122
9,1000,0.2,0.2,50.0,1000,3362,2636,997,49436.296875,0.020167
10,1000,0.2,0.2,50.0,1000,3302,2639,998,48081.519531,0.020756
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3323,2611,995,47743.148438,0.020841
2,1000,0.2,0.2,50.0,1000,3325,2672,997,48594.960938,0.020517
3,1000,0.2,0.2,50.0,1000,333470,6307,492,48414.980469,0.010162
4,1000,0.2,0.2,50.0,1000,3220,2591,998,49482.773438,0.020169
5,1000,0.2,0.2,50.0,1000,3514,2821,998,48546.585938,0.020558
6,1000,0.2,0.2,50.0,1000,3257,2628,997,50580.273438,0.019711
7,1000,0.2,0.2,50.0,1000,3560,2810,998,51924.906250,0.019220
8,1000,0.2,0.2,50.0,1000,3325,2660,998,49597.656250,0.020122
9,1000,0.2,0.2,50.0,1000,3362,2636,997,49436.296875,0.020167
10,1000,0.2,0.2,50.0,1000,3302,2639,998,48081.519531,0.020756
