Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1944,1759,999,49837.750000,0.020045
2,1000,0.1,0.2,50.0,1000,1969,1762,998,49389.953125,0.020207
3,1000,0.1,0.2,50.0,1000,2004,1766,998,49309.449219,0.020240
4,1000,0.1,0.2,50.0,1000,1921,1720,999,49818.855469,0.020053
5,1000,0.1,0.2,50.0,1000,1918,1730,997,51001.132812,0.019549
6,1000,0.1,0.2,50.0,1000,1914,1727,999,50251.695312,0.019880
7,1000,0.1,0.2,50.0,1000,1959,1758,999,50268.148438,0.019873
8,1000,0.1,0.2,50.0,1000,1937,1753,999,51394.218750,0.019438
9,1000,0.1,0.2,50.0,1000,2039,1831,999,49123.988281,0.020336
10,1000,0.1,0.2,50.0,1000,1796,1623,999,50871.695312,0.019638
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2494,1998,999,50556.597656,0.019760
2,1000,0.2,0.2,50.0,1000,2496,1977,999,50474.695312,0.019792
3,1000,0.2,0.2,50.0,1000,2499,1974,999,50768.988281,0.019677
4,1000,0.2,0.2,50.0,1000,2465,1949,999,48526.066406,0.020587
5,1000,0.2,0.2,50.0,1000,2405,1940,999,48858.250000,0.020447
6,1000,0.2,0.2,50.0,1000,2510,2005,999,50404.132812,0.019820
7,1000,0.2,0.2,50.0,1000,2623,2060,999,49307.589844,0.020261
8,1000,0.2,0.2,50.0,1000,2406,1931,999,50995.136719,0.019590
9,1000,0.2,0.2,50.0,1000,2582,2045,999,50083.828125,0.019947
10,1000,0.2,0.2,50.0,1000,2475,1985,998,49495.953125,0.020163
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4376,2624,997,48235.371094,0.020669
2,1000,0.4,0.2,50.0,1000,4550,2713,999,49072.082031,0.020358
3,1000,0.4,0.2,50.0,1000,4409,2632,999,49093.261719,0.020349
4,1000,0.4,0.2,50.0,1000,4253,2601,999,50932.808594,0.019614
5,1000,0.4,0.2,50.0,1000,4397,2637,998,49913.507812,0.019995
6,1000,0.4,0.2,50.0,1000,4297,2589,997,49083.214844,0.020312
7,1000,0.4,0.2,50.0,1000,4530,2703,999,50960.390625,0.019603
8,1000,0.4,0.2,50.0,1000,4255,2572,996,50413.417969,0.019757
9,1000,0.4,0.2,50.0,1000,4446,2667,997,48427.281250,0.020588
10,1000,0.4,0.2,50.0,1000,4457,2721,997,48088.996094,0.020732
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9454,3803,999,48751.542969,0.020492
2,1000,0.6,0.2,50.0,1000,10103,3916,997,50040.250000,0.019924
3,1000,0.6,0.2,50.0,1000,10942,4369,994,51677.980469,0.019234
4,1000,0.6,0.2,50.0,1000,9469,3891,980,49196.492188,0.019920
5,1000,0.6,0.2,50.0,1000,10333,4174,999,48896.230469,0.020431
6,1000,0.6,0.2,50.0,1000,9563,3834,999,52209.410156,0.019134
7,1000,0.6,0.2,50.0,1000,10271,4093,999,50878.574219,0.019635
8,1000,0.6,0.2,50.0,1000,9983,4016,994,49352.070312,0.020141
9,1000,0.6,0.2,50.0,1000,9789,3891,997,49572.117188,0.020112
10,1000,0.6,0.2,50.0,1000,9901,3983,998,52265.425781,0.019095
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,10021,2041,279,49202.652344,0.005670
2,1000,0.8,0.2,50.0,1000,10836,2199,265,49942.625000,0.005306
3,1000,0.8,0.2,50.0,1000,9558,1906,233,49855.515625,0.004674
4,1000,0.8,0.2,50.0,1000,10693,2199,321,50221.277344,0.006392
5,1000,0.8,0.2,50.0,1000,10356,2028,265,51352.164062,0.005160
6,1000,0.8,0.2,50.0,1000,11978,2446,327,49499.140625,0.006606
7,1000,0.8,0.2,50.0,1000,11677,2255,271,50482.167969,0.005368
8,1000,0.8,0.2,50.0,1000,10816,2204,279,49542.804688,0.005631
9,1000,0.8,0.2,50.0,1000,9651,1935,260,49749.480469,0.005226
10,1000,0.8,0.2,50.0,1000,10419,2086,273,49995.617188,0.005460
