Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,,
1,1000,0.6,0.2,50,1000,9454,3803,999,48751.542969,0.020492,,,,
2,1000,0.6,0.2,50,1000,10103,3916,997,50040.25,0.019924,,,,
3,1000,0.6,0.2,50,1000,10942,4369,994,51677.980469,0.019234,,,,
4,1000,0.6,0.2,50,1000,9469,3891,980,49196.492188,0.01992,,,,
5,1000,0.6,0.2,50,1000,10333,4174,999,48896.230469,0.020431,,,,
6,1000,0.6,0.2,50,1000,9563,3834,999,52209.410156,0.019134,,,,
7,1000,0.6,0.2,50,1000,10271,4093,999,50878.574219,0.019635,,,,
8,1000,0.6,0.2,50,1000,9983,4016,994,49352.070312,0.020141,,,,
9,1000,0.6,0.2,50,1000,9789,3891,997,49572.117188,0.020112,,,,
10,1000,0.6,0.2,50,1000,9901,3983,998,52265.425781,0.019095,,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,,
1,1000,0.8,0.2,50,1000,19916,4026,493,51067.921875,0.009654,,,,
2,1000,0.8,0.2,50,1000,21951,4415,566,51521.074219,0.010986,,,,
3,1000,0.8,0.2,50,1000,19852,3942,495,49779.992188,0.009944,,,,
4,1000,0.8,0.2,50,1000,19747,4022,568,49841.027344,0.011396,,,,
5,1000,0.8,0.2,50,1000,18879,3750,481,50533.121094,0.009519,,,,
6,1000,0.8,0.2,50,1000,20502,4100,533,53573.222656,0.009949,,,,
7,1000,0.8,0.2,50,1000,17482,3386,447,50424.292969,0.008865,,,,
8,1000,0.8,0.2,50,1000,16626,3385,459,50819.589844,0.009032,,,,
9,1000,0.8,0.2,50,1000,17341,3469,451,49316.261719,0.009145,,,,
10,1000,0.8,0.2,50,1000,18951,3771,482,50322.984375,0.009578,,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,,
1,1000,0.8,0.2,50,1000,14938,2994,397,49899.085938,0.007956,,W 50,t,
2,1000,0.8,0.2,50,1000,13815,2745,362,50482.371094,0.007171,,,,
3,1000,0.8,0.2,50,1000,14801,2977,315,49783.3125,0.006327,,,,
4,1000,0.8,0.2,50,1000,15711,3244,439,50665.664062,0.008665,,,,
5,1000,0.8,0.2,50,1000,14874,2899,416,49858.527344,0.008344,,,,
6,1000,0.8,0.2,50,1000,14587,2973,383,51055.261719,0.007502,,,,
7,1000,0.8,0.2,50,1000,13816,2696,346,50237.628906,0.006887,,,,
8,1000,0.8,0.2,50,1000,14630,2979,377,49380.707031,0.007635,,,,
