Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.0,10.0,1000,25853,1883,1,10379.076172,0.000096
2,1000,0.5,0.0,10.0,1000,24654,1808,1,9889.495117,0.000101
3,1000,0.5,0.0,10.0,1000,25102,1838,1,10069.874023,0.000099
4,1000,0.5,0.0,10.0,1000,24554,1802,1,9845.974609,0.000102
5,1000,0.5,0.0,10.0,1000,25203,1831,2,10092.801758,0.000198
6,1000,0.5,0.0,10.0,1000,24952,1806,1,10007.120117,0.000100
7,1000,0.5,0.0,10.0,1000,24852,1805,2,9956.596680,0.000201
8,1000,0.5,0.0,10.0,1000,24853,1778,2,9966.028320,0.000201
9,1000,0.5,0.0,10.0,1000,25204,1835,1,10095.988281,0.000099
10,1000,0.5,0.0,10.0,1000,25602,1845,1,10271.387695,0.000097
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.0,10.0,1000,25853,1883,1,10379.076172,0.000096
2,1000,0.5,0.0,10.0,1000,24654,1808,1,9889.495117,0.000101
3,1000,0.5,0.0,10.0,1000,25102,1838,1,10069.874023,0.000099
4,1000,0.5,0.0,10.0,1000,24554,1802,1,9845.974609,0.000102
5,1000,0.5,0.0,10.0,1000,25203,1831,2,10092.801758,0.000198
6,1000,0.5,0.0,10.0,1000,24952,1806,1,10007.120117,0.000100
7,1000,0.5,0.0,10.0,1000,24852,1805,2,9956.596680,0.000201
8,1000,0.5,0.0,10.0,1000,24853,1778,2,9966.028320,0.000201
9,1000,0.5,0.0,10.0,1000,25204,1835,1,10095.988281,0.000099
10,1000,0.5,0.0,10.0,1000,25602,1845,1,10271.387695,0.000097
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.5,10.0,1000,25553,1844,1,10259.298828,0.000097
2,1000,0.5,0.5,10.0,1000,24104,1753,1,9671.399414,0.000103
