Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
1,100,0,0,5,100,124,99,5,509.649597,0.009811,,jinbo,gbn
2,100,0,0,5,100,130,96,5,511.227844,0.00978,,,
3,100,0,0,5,100,115,74,5,450.512787,0.011098,,,
4,100,0,0,5,100,120,94,5,480.556793,0.010405,,,
5,100,0,0,5,100,130,95,5,513.582458,0.009736,,,
6,100,0,0,5,100,133,95,5,545.391785,0.009168,,,
7,100,0,0,5,100,123,87,5,492.308105,0.010156,,,
8,100,0,0,5,100,125,84,5,505.937714,0.009883,,,
9,100,0,0,5,100,125,86,5,489.926178,0.010206,,,
10,100,0,0,5,100,105,75,5,424.048737,0.011791,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
1,100,0,0,5,100,119,87,6,478.954895,0.012527,,taoran,gbn
2,100,0,0,5,100,120,93,6,480.107788,0.012497,,,
3,100,0,0,5,100,130,90,6,514.405762,0.011664,,,
4,100,0,0,5,100,120,94,5,480.556793,0.010405,,,
5,100,0,0,5,100,130,90,6,511.58374,0.011728,,,
6,100,0,0,5,100,127,91,6,514.925842,0.011652,,,
7,100,0,0,5,100,123,85,6,494.038116,0.012145,,,
8,100,0,0,5,100,130,90,6,510.727448,0.011748,,,
9,100,0,0,5,100,125,86,5,489.926178,0.010206,,,
10,100,0,0,5,100,115,85,6,467.956757,0.012822,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
1,100,0,0,5,100,119,87,6,478.954895,0.012527,,,
2,100,0,0,5,100,120,93,6,480.107788,0.012497,,,
3,100,0,0,5,100,130,90,6,514.405762,0.011664,,,
4,100,0,0,5,100,120,94,5,480.556793,0.010405,,,
5,100,0,0,5,100,130,90,6,511.58374,0.011728,,,
6,100,0,0,5,100,127,91,6,514.925842,0.011652,,,
7,100,0,0,5,100,123,85,6,494.038116,0.012145,,,
8,100,0,0,5,100,130,90,6,510.727448,0.011748,,,
9,100,0,0,5,100,125,86,5,489.926178,0.010206,,,
10,100,0,0,5,100,115,85,6,467.956757,0.012822,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
1,100,0.5,0,5,100,129,60,5,527.789917,0.009473,,,
2,100,0.5,0,5,100,125,58,5,493.518646,0.010131,,,
3,100,0.5,0,5,100,128,51,5,514.365723,0.009721,,,
4,100,0.5,0,5,100,124,54,5,496.563507,0.010069,,,
5,100,0.5,0,5,100,114,55,5,455.955048,0.010966,,,
6,100,0.5,0,5,100,129,60,5,509.765015,0.009808,,,
7,100,0.5,0,5,100,123,62,5,498.967834,0.010021,,,
8,100,0.5,0,5,100,140,61,5,563.439209,0.008874,,,
9,100,0.5,0,5,100,125,53,5,499.172546,0.010017,,,
10,100,0.5,0,5,100,113,52,5,465.683258,0.010737,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,taoran,gbn
1,100,0.8,0,5,100,114,28,5,462.758881,0.010805,,,
2,100,0.8,0,5,100,130,29,5,519.612976,0.009623,,,
3,100,0.8,0,5,100,123,22,5,495.1409,0.010098,,,
4,100,0.8,0,5,100,120,25,4,486.913574,0.008215,,,
5,100,0.8,0,5,100,114,23,5,464.129242,0.010773,,,
6,100,0.8,0,5,100,135,31,5,549.162292,0.009105,,,
7,100,0.8,0,5,100,119,22,4,484.730225,0.008252,,,
8,100,0.8,0,5,100,135,32,5,535.545349,0.009336,,,
9,100,0.8,0,5,100,130,27,5,521.800659,0.009582,,,
10,100,0.8,0,5,100,113,24,5,463.107513,0.010797,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,abt
1,100,0.8,0,5,100,25,5,1,493.139893,0.002028,,,
2,100,0.8,0,5,100,23,3,1,467.28833,0.00214,,,
3,100,0.8,0,5,100,25,5,1,495.258942,0.002019,,,
4,100,0.8,0,5,100,27,3,1,538.364441,0.001857,,,
5,100,0.8,0,5,100,27,3,1,535.717773,0.001867,,,
6,100,0.8,0,5,100,29,6,1,583.194519,0.001715,,,
7,100,0.8,0,5,100,25,2,1,503.946838,0.001984,,,
8,100,0.8,0,5,100,27,11,1,537.759888,0.00186,,,
9,100,0.8,0,5,100,28,0,0,553.134277,0,,,
10,100,0.8,0,5,100,23,2,1,469.352875,0.002131,,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,taoran,gbn
1,100,0.8,0,20,100,6,2,0,1957.125366,0,,,
2,100,0.8,0,20,100,500,101,5,2039.002808,0.002452,,,
3,100,0.8,0,20,100,6,0,0,2031.286621,0,,,
4,100,0.8,0,20,100,6,1,0,2148.390869,0,,,
5,100,0.8,0,20,100,481,98,5,1988.400757,0.002515,,,
6,100,0.8,0,20,100,6,1,1,2258.255615,0.000443,,,
