Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.8,0,50,1000,25192,5080,661,49696.496094,0.013301,,gbn w10
2,1000,0.8,0,50,1000,25045,4997,604,49144.394531,0.01229,,
3,1000,0.8,0,50,1000,24889,4872,605,49199.574219,0.012297,,
4,1000,0.8,0,50,1000,25881,5156,612,51051.664062,0.011988,,
5,1000,0.8,0,50,1000,24613,4894,584,48547.066406,0.01203,,
6,1000,0.8,0,50,1000,24809,5064,623,49568.839844,0.012568,,
7,1000,0.8,0,50,1000,25402,5065,672,50017.164062,0.013435,,
8,1000,0.8,0,50,1000,26188,5326,645,51638.289062,0.012491,,
9,1000,0.8,0,50,1000,26272,5273,665,51863.910156,0.012822,,
10,1000,0.8,0,50,1000,24858,4946,594,49240.773438,0.012063,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.8,0,50,1000,114867,8668,164,48876.496094,0.003355,,gbn w50
2,1000,0.8,0,50,1000,113334,8588,173,48225.457031,0.003587,,
3,1000,0.8,0,50,1000,114621,8754,194,49375.121094,0.003929,,
4,1000,0.8,0,50,1000,119277,8907,169,50081.5,0.003374,,
5,1000,0.8,0,50,1000,118573,8872,166,50476.382812,0.003289,,
6,1000,0.8,0,50,1000,115570,8830,185,49462.769531,0.00374,,
7,1000,0.8,0,50,1000,118815,8864,166,49945.449219,0.003324,,
8,1000,0.8,0,50,1000,118277,8905,153,49808.339844,0.003072,,
9,1000,0.8,0,50,1000,122080,9003,154,50609.878906,0.003043,,
10,1000,0.8,0,50,1000,118753,8903,174,50537.015625,0.003443,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.8,0,50,1000,10875,2213,443,50616.433594,0.008752,,sr w10
2,1000,0.8,0,50,1000,10535,2080,440,50053.351562,0.008791,,
3,1000,0.8,0,50,1000,10692,2143,437,48961.511719,0.008925,,
4,1000,0.8,0,50,1000,10735,2237,473,50318.679688,0.0094,,
5,1000,0.8,0,50,1000,10897,2165,418,49883.546875,0.00838,,
6,1000,0.8,0,50,1000,10856,2242,432,51078.175781,0.008458,,
7,1000,0.8,0,50,1000,9941,1930,400,48329.589844,0.008277,,
8,1000,0.8,0,50,1000,10952,2184,471,50846.605469,0.009263,,
9,1000,0.8,0,50,1000,9957,2046,397,50409.863281,0.007875,,
10,1000,0.8,0,50,1000,11359,2283,482,49031.277344,0.00983,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.8,0,50,1000,25173,5039,994,49677.105469,0.020009,,sr w50
2,1000,0.8,0,50,1000,25817,5192,997,50167.835938,0.019873,,
3,1000,0.8,0,50,1000,25776,5033,995,50727.945312,0.019614,,
4,1000,0.8,0,50,1000,32603,6285,934,50366.238281,0.018544,,
5,1000,0.8,0,50,1000,25402,5079,999,50332.46875,0.019848,,
6,1000,0.8,0,50,1000,23915,4842,998,51714.957031,0.019298,,
7,1000,0.8,0,50,1000,24576,4865,998,49662.257812,0.020096,,
8,1000,0.8,0,50,1000,24240,4888,995,51161.488281,0.019448,,
