Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,10021,2041,279,49202.652344,0.005670
2,1000,0.8,0.2,50.0,1000,10836,2199,265,49942.625000,0.005306
3,1000,0.8,0.2,50.0,1000,9558,1906,233,49855.515625,0.004674
4,1000,0.8,0.2,50.0,1000,10693,2199,321,50221.277344,0.006392
5,1000,0.8,0.2,50.0,1000,10356,2028,265,51352.164062,0.005160
6,1000,0.8,0.2,50.0,1000,11978,2446,327,49499.140625,0.006606
7,1000,0.8,0.2,50.0,1000,11677,2255,271,50482.167969,0.005368
8,1000,0.8,0.2,50.0,1000,10816,2204,279,49542.804688,0.005631
9,1000,0.8,0.2,50.0,1000,9651,1935,260,49749.480469,0.005226
10,1000,0.8,0.2,50.0,1000,10419,2086,273,49995.617188,0.005460
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,79755,8743,335,51774.066406,0.006470
2,1000,0.8,0.2,50.0,1000,65878,8210,355,48620.625000,0.007301
3,1000,0.8,0.2,50.0,1000,86058,8791,321,50025.214844,0.006417
4,1000,0.8,0.2,50.0,1000,62077,8477,485,49669.839844,0.009764
5,1000,0.8,0.2,50.0,1000,75629,8096,399,48549.742188,0.008218
6,1000,0.8,0.2,50.0,1000,85999,8656,313,51206.648438,0.006112
7,1000,0.8,0.2,50.0,1000,68084,8866,310,50122.023438,0.006185
8,1000,0.8,0.2,50.0,1000,81655,8796,302,50745.472656,0.005951
9,1000,0.8,0.2,50.0,1000,65752,8601,407,51390.449219,0.007920
10,1000,0.8,0.2,50.0,1000,73069,8715,332,50117.734375,0.006624
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,31347,6154,732,51737.863281,0.014148
2,1000,0.8,0.2,50.0,1000,30033,5921,660,49174.515625,0.013422
3,1000,0.8,0.2,50.0,1000,26857,5246,521,50455.441406,0.010326
4,1000,0.8,0.2,50.0,1000,29940,5986,768,51521.820312,0.014906
5,1000,0.8,0.2,50.0,1000,31501,6273,761,50511.503906,0.015066
6,1000,0.8,0.2,50.0,1000,29473,5900,738,50291.914062,0.014674
7,1000,0.8,0.2,50.0,1000,29161,5686,730,49657.800781,0.014701
8,1000,0.8,0.2,50.0,1000,30038,6074,770,49487.433594,0.015560
9,1000,0.8,0.2,50.0,1000,27099,5449,680,49777.667969,0.013661
10,1000,0.8,0.2,50.0,1000,27273,5359,581,49932.566406,0.011636
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,36387,7290,977,49790.445312,0.019622
2,1000,0.8,0.2,50.0,1000,64036,7945,709,50334.570312,0.014086
3,1000,0.8,0.2,50.0,1000,39015,7730,994,51401.746094,0.019338
4,1000,0.8,0.2,50.0,1000,35847,7113,988,51460.558594,0.019199
5,1000,0.8,0.2,50.0,1000,42507,7931,943,50193.265625,0.018787
6,1000,0.8,0.2,50.0,1000,59912,8098,693,51789.511719,0.013381
7,1000,0.8,0.2,50.0,1000,37501,7083,938,49890.558594,0.018801
8,1000,0.8,0.2,50.0,1000,54887,7585,664,49974.277344,0.013287
9,1000,0.8,0.2,50.0,1000,35795,7217,968,49423.703125,0.019586
10,1000,0.8,0.2,50.0,1000,47170,7729,830,49607.484375,0.016731
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,38013,7647,975,48847.000000,0.019960
2,1000,0.8,0.2,50.0,1000,37380,7494,991,49205.824219,0.020140
3,1000,0.8,0.2,50.0,1000,38751,7688,991,51257.281250,0.019334
4,1000,0.8,0.2,50.0,1000,35854,7109,981,50612.296875,0.019383
5,1000,0.8,0.2,50.0,1000,38070,7564,991,49501.875000,0.020019
6,1000,0.8,0.2,50.0,1000,38410,7706,983,50262.171875,0.019557
7,1000,0.8,0.2,50.0,1000,37418,7351,984,48991.105469,0.020085
8,1000,0.8,0.2,50.0,1000,37968,7681,987,50186.300781,0.019667
9,1000,0.8,0.2,50.0,1000,38264,7745,997,49838.949219,0.020004
10,1000,0.8,0.2,50.0,1000,38737,7737,993,52058.597656,0.019075
